Catalog #,Title,Composer,Performer,Genre,Label,Date,Media Type,RPM,Comments
HSTR     501,PIANO MUSIC OF VILLA-LOBOS,HEITOR VILLA-LOBOS,"RUBENSTEIN, ARTHUR (PIANIST)",Classical Piano,RCA VICTOR,,,," RCA VICTOR M 970. BROWN COVER, DARK BROWN LEATHRETTE SPINE. FOUND IN #462 (CABINET). a-ALBUM, b-c-DISCS."
HSTR     502,,,,,RCA VICTOR,,,,"GEORGES ENESCO ROUMANIAN RHAPSODIES THE PHILADELPHIA ORCHESTRA/THE NATIONAL SYMPHONY ORCHESTRA. ORMANDY, EUGENE, AND HANS KINDLER (CONDUCTORS). RCA VICTOR DM 830. TEXTURED BROWN COVER, MAROON SPINE. TWO CARDBOARD CUSHION INSERTS. FOUND IN #462 (CABINET). a-ALBUM, b-c-DISCS."
HSTR     503,,,,,RCA VICTOR,,,,"BEETHOVEN: ""PATHETIQUE"" SONATA NO.8 IN C MINOR, OP.13 RUBINSTEIN, ARTHUR (PIANIST). RCA VICTOR DM 1102. BROWN COVER WITH PHOTO OF RUBENSTEIN. TWO CARDBOARD CUSHION INSERTS. FOUND IN #462 (CABINET). a-ALBUM, b-c-DISCS. CONTAINS #504 (RECORD)."
HSTR     504,,,,,SOUND STUDIOS INC.,,,,"JOE GLAZER, ""THE POLITICAL MINSTREL"" AND HIS GUITAR GLAZER, JOE (GUITAR AND VOCAL). SOUND STUDIOS G8-OL-0123. 33 1/3 RPM. ""THE BALLAD OF RICHARD NIXON"" AND OTHER SONGS. FOUND IN CARDBOARD INSERT OF #503 (ALBUM). MANY SMALL SCRATCHES."
HSTR     505,,,,,RCA VICTOR,,,,"FIRST PIANO QUARTET ENCORES FIRST PIANO QUARTET (PIANISTS). ELEVEN SELECTIONS OF VARIOUS COMPOSERS. RCA VICTOR MO 1263. RED, WHITE AND BLACK COVER, BLACK SPINE. CARDBOARD CUSHION. FOUND IN #462 (CABINET). a-ALBUM, b-d-DISCS."
HSTR     506,,,,,RCA VICTOR,1946,,,"LA BOHEME ALBANESE, LICIA (SOPRANO). JAN PEERCE (TENOR). NBC SYMPHONY ORCHESTRA AND CHORUS. TOSCANINI, ARTURO (CONDUCTOR). RCA VICTOR LM 6006. 33 1/3 RPM. BLUE BOX WITH LIGHT BLUE SPINE. FOUND IN #462 (CABINET). a-BOX, b-c-DISCS, d-e-SLEEVES. CONTAINS #507 (BOOKLET)."
HSTR     508,,,,,COLUMBIA RECORDS,02/23/1954,,,"THIS I BELIEVE MURROW, EDWARD R. (NARRATOR). PERSONAL PHILOSOPHIES OF 10 LIVING AMERICANS & 10 IMMORTALS. COLUMBIA MASTERWORKS SL-192. YELLOW AND BLACK JACKET LISTS SPEAKERS, ETC. PENCILED ""PRES. ACK./2-23-54"". FOUND IN #462 (CABINET). a-JACKET, b-c-DISCS."
HSTR     509,,,,,RCA VICTOR,,,,"VICTORY AT SEA (RICHARD RODGERS) MEMBERS OF THE NBC SYMPHONY ORCHESTRA. BENNETT, ROBERT RUSSELL (CONDUCTOR). RCA VICTOR LM 1779. 33 1/3 RPM. BLUE AND GOLD JACKET FRONT, WHITE SPINE. FOUND IN #462 (CABINET). a-DISC, b-JACKET. EDGES OF JACKET ARE WORN."
HSTR     510,,,,,RCA VICTOR,,,,"BERLIOZ: ROMEO AND JULIET NBC SYMPHONY ORCHESTRA. TOSCANINI, ARTURO (CONDUCTOR). RCA VICTOR DV 7. PURPLE AND GOLD COVER, BLACK SPINE. WRAPPED IN BRITTLE CELLOPHANE. FOUND IN #462 (CABINET). a-ALBUM, b-d-DISCS. CELLOPHANE PEELING."
HSTR     511,,,,,U.S. DEPT. OF THE INTERIOR,02/ 6/1947,,,"LUNCHEON FOR THE PRESIDENT (STRAUSS AND GERSHWIN SELECTIONS) BOSTON POPS SYMPHONY/ARMY AIR FORCES SYMPHONY ORCHESTRA. USDI RADIO SECTION, DIVISION OF INFORMATION. PLAIN GRAY COVER, PLAIN BLACK SPINE. FOUND IN #462 (CXABINET). a-ALBUM, b-f-DISCS. LABELS AND DISKS COATED IN WHITE MOLD-LIKE SUBSTANCE."
